Year,Discipline,Sex,Age Group,SK Racers,Average Points,Total Points,List Name,Publication Date,List ID
2023,Sprint,Men,MM8,0,0.0,0,End of 2023 Season Sprint Final,2023-04-09,1686
2023,Sprint,Men,SM,3,70.48,211.43,End of 2023 Season Sprint Final,2023-04-09,1686
2023,Sprint,Men,U14,3,31.55,94.64,End of 2023 Season Sprint Final,2023-04-09,1686
2023,Sprint,Men,U16,4,42.45,169.78,End of 2023 Season Sprint Final,2023-04-09,1686
2023,Sprint,Men,U18,8,47.53,380.23,End of 2023 Season Sprint Final,2023-04-09,1686
2023,Sprint,Men,U20,4,73.66,294.64,End of 2023 Season Sprint Final,2023-04-09,1686
2023,Sprint,Women,MW1,0,0.0,0,End of 2023 Season Sprint Final,2023-04-09,1687
2023,Sprint,Women,MW5,0,0.0,0,End of 2023 Season Sprint Final,2023-04-09,1687
2023,Sprint,Women,MW9,0,0.0,0,End of 2023 Season Sprint Final,2023-04-09,1687
2023,Sprint,Women,SW,1,80.89,80.89,End of 2023 Season Sprint Final,2023-04-09,1687
2023,Sprint,Women,U12,0,0.0,0,End of 2023 Season Sprint Final,2023-04-09,1687
2023,Sprint,Women,U14,0,0.0,0,End of 2023 Season Sprint Final,2023-04-09,1687
2023,Sprint,Women,U16,2,51.8,103.59,End of 2023 Season Sprint Final,2023-04-09,1687
2023,Sprint,Women,U18,6,59.39,356.36,End of 2023 Season Sprint Final,2023-04-09,1687
2023,Sprint,Women,U20,4,73.92,295.69,End of 2023 Season Sprint Final,2023-04-09,1687
2024,Distance,Men,MM1,2,71.81,143.63,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Men,MM2,1,60.05,60.05,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Men,MM3,0,0.0,0,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Men,MM4,1,61.09,61.09,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Men,MM5,1,65.24,65.24,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Men,MM7,2,49.47,98.94,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Men,MM8,0,0.0,0,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Men,SM,1,76.43,76.43,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Men,U14,5,30.31,151.54,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Men,U16,4,45.77,183.07,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Men,U18,8,58.85,470.78,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Men,U20,4,78.21,312.84,6th CPL Distance 2023-24,2024-04-04,1817
2024,Distance,Women,MW1,0,0.0,0,6th CPL Distance 2023-24,2024-04-04,1818
2024,Distance,Women,MW5,1,60.0,60.0,6th CPL Distance 2023-24,2024-04-04,1818
2024,Distance,Women,MW9,0,0.0,0,6th CPL Distance 2023-24,2024-04-04,1818
2024,Distance,Women,SW,0,0.0,0,6th CPL Distance 2023-24,2024-04-04,1818
2024,Distance,Women,U12,0,0.0,0,6th CPL Distance 2023-24,2024-04-04,1818
2024,Distance,Women,U14,2,45.46,90.92,6th CPL Distance 2023-24,2024-04-04,1818
2024,Distance,Women,U16,8,36.76,294.11,6th CPL Distance 2023-24,2024-04-04,1818
2024,Distance,Women,U18,5,63.58,317.91,6th CPL Distance 2023-24,2024-04-04,1818
2024,Distance,Women,U20,3,67.79,203.36,6th CPL Distance 2023-24,2024-04-04,1818
2024,Sprint,Men,MM1,1,70.29,70.29,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Men,MM2,0,0.0,0,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Men,MM3,0,0.0,0,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Men,MM4,1,64.62,64.62,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Men,MM5,1,68.68,68.68,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Men,MM7,2,51.6,103.2,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Men,MM8,0,0.0,0,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Men,SM,1,73.42,73.42,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Men,U14,4,37.3,149.19,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Men,U16,4,45.59,182.38,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Men,U18,7,59.57,416.96,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Men,U20,4,75.78,303.1,6th CPL Sprint 2023-24,2024-04-04,1819
2024,Sprint,Women,MW1,0,0.0,0,6th CPL Sprint 2023-24,2024-04-04,1820
2024,Sprint,Women,MW5,1,64.41,64.41,6th CPL Sprint 2023-24,2024-04-04,1820
2024,Sprint,Women,MW9,0,0.0,0,6th CPL Sprint 2023-24,2024-04-04,1820
2024,Sprint,Women,SW,0,0.0,0,6th CPL Sprint 2023-24,2024-04-04,1820
2024,Sprint,Women,U12,0,0.0,0,6th CPL Sprint 2023-24,2024-04-04,1820
2024,Sprint,Women,U14,0,0.0,0,6th CPL Sprint 2023-24,2024-04-04,1820
2024,Sprint,Women,U16,6,49.79,298.76,6th CPL Sprint 2023-24,2024-04-04,1820
2024,Sprint,Women,U18,5,67.54,337.7,6th CPL Sprint 2023-24,2024-04-04,1820
2024,Sprint,Women,U20,3,69.83,209.5,6th CPL Sprint 2023-24,2024-04-04,1820
2025,Distance,Men,MM1,1,63.79,63.79,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Men,MM2,2,68.29,136.58,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Men,MM3,1,58.42,58.42,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Men,MM4,1,52.1,52.1,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Men,MM5,1,69.84,69.84,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Men,MM7,0,0.0,0,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Men,MM8,1,46.6,46.6,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Men,SM,1,66.39,66.39,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Men,U14,6,36.48,218.86,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Men,U16,4,65.56,262.24,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Men,U18,7,71.24,498.7,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Men,U20,5,77.1,385.51,7th CPL Distance 2024-25,2025-04-04,1893
2025,Distance,Women,MW1,0,0.0,0,7th CPL Distance 2024-25,2025-04-04,1894
2025,Distance,Women,MW5,1,63.0,63.0,7th CPL Distance 2024-25,2025-04-04,1894
2025,Distance,Women,MW9,1,49.92,49.92,7th CPL Distance 2024-25,2025-04-04,1894
2025,Distance,Women,SW,1,71.03,71.03,7th CPL Distance 2024-25,2025-04-04,1894
2025,Distance,Women,U12,0,0.0,0,7th CPL Distance 2024-25,2025-04-04,1894
2025,Distance,Women,U14,5,39.81,199.07,7th CPL Distance 2024-25,2025-04-04,1894
2025,Distance,Women,U16,8,49.7,397.56,7th CPL Distance 2024-25,2025-04-04,1894
2025,Distance,Women,U18,6,64.05,384.32,7th CPL Distance 2024-25,2025-04-04,1894
2025,Distance,Women,U20,3,62.98,188.93,7th CPL Distance 2024-25,2025-04-04,1894
2025,Sprint,Men,MM1,1,71.1,71.1,7th CPL Sprint 2024-25,2025-04-04,1895
2025,Sprint,Men,MM2,2,72.22,144.45,7th CPL Sprint 2024-25,2025-04-04,1895
2025,Sprint,Men,MM3,1,68.26,68.26,7th CPL Sprint 2024-25,2025-04-04,1895
2025,Sprint,Men,MM4,0,0.0,0,7th CPL Sprint 2024-25,2025-04-04,1895
2025,Sprint,Men,MM5,1,73.09,73.09,7th CPL Sprint 2024-25,2025-04-04,1895
2025,Sprint,Men,MM7,0,0.0,0,7th CPL Sprint 2024-25,2025-04-04,1895
2025,Sprint,Men,MM8,1,46.66,46.66,7th CPL Sprint 2024-25,2025-04-04,1895
